,level_0,Elo_home,Elo_away,home_GF,home_GA,away_GF,away_GA,result
456,29323,67.0,59.0,28,44,33,54,1.0
457,74183,54.0,86.0,27,50,67,29,-1.0
458,10715,81.0,63.0,64,45,37,71,0.0
459,34961,75.0,78.0,34,48,43,27,0.0
460,47828,54.0,53.0,30,33,20,32,1.0
461,116755,51.0,63.0,54,66,64,40,0.0
462,38739,84.0,73.0,57,36,40,54,-1.0
463,73984,89.0,71.0,57,25,28,59,1.0
464,70032,70.0,83.0,37,38,64,32,0.0
465,121251,53.0,53.0,47,70,62,77,1.0
466,14984,73.0,93.0,47,71,67,32,0.0
467,60001,91.0,73.0,67,30,38,49,1.0
468,117541,48.0,53.0,40,80,60,42,-1.0
469,36331,78.0,76.0,56,38,38,53,1.0
470,14121,76.0,92.0,56,61,70,39,1.0
471,103156,74.0,78.0,29,63,51,36,-1.0
472,5997,40.0,41.0,35,54,34,47,1.0
473,108498,66.0,75.0,24,60,47,52,0.0
474,38763,75.0,70.0,35,45,46,31,0.0
475,1623,57.0,58.0,51,56,49,46,1.0
476,80436,74.0,83.0,41,37,51,48,0.0
477,87873,71.0,80.0,32,43,56,48,0.0
478,1907,57.0,57.0,52,50,58,33,-1.0
479,12018,75.0,84.0,43,67,46,48,1.0
480,54203,62.0,45.0,40,33,27,29,0.0
481,15087,81.0,70.0,41,43,46,70,0.0
482,108282,67.0,67.0,41,43,24,60,1.0
483,116007,59.0,57.0,52,43,40,46,1.0
484,103531,82.0,78.0,42,20,35,47,1.0
485,5246,66.0,67.0,66,40,55,39,0.0
486,24632,64.0,47.0,63,30,49,61,1.0
487,31410,63.0,74.0,34,76,65,50,-1.0
488,102959,83.0,74.0,56,31,29,63,1.0
489,76913,82.0,83.0,38,40,41,50,1.0
490,55184,81.0,70.0,42,61,50,41,0.0
491,21237,51.0,55.0,58,57,53,56,0.0
492,15147,80.0,75.0,50,55,46,58,1.0
493,59102,83.0,77.0,46,35,38,70,1.0
494,21940,50.0,59.0,52,69,52,58,-1.0
495,89246,55.0,66.0,44,55,61,26,-1.0
496,31644,78.0,61.0,70,37,43,77,1.0
497,20834,62.0,53.0,66,84,47,62,1.0
498,97519,70.0,49.0,85,44,58,56,1.0
499,110759,79.0,91.0,57,39,77,29,-1.0
500,13479,80.0,80.0,51,57,47,43,1.0
501,57030,62.0,79.0,45,80,44,62,0.0
502,119376,65.0,58.0,57,41,38,70,1.0
503,49582,58.0,62.0,52,38,52,49,1.0
504,105708,86.0,78.0,57,46,44,56,1.0
505,71163,77.0,68.0,48,35,29,63,1.0
506,119174,65.0,57.0,57,41,51,63,0.0
507,107263,80.0,69.0,49,52,41,51,1.0
508,38539,72.0,68.0,40,35,35,39,0.0
509,72118,69.0,72.0,34,53,28,33,1.0
510,33215,73.0,74.0,39,67,55,51,-1.0
511,93273,64.0,55.0,66,39,30,32,1.0
512,62523,73.0,80.0,34,45,40,59,1.0
513,41217,70.0,71.0,42,49,47,47,0.0
